"Country","Region","Year","Births","Maternal_Population","Maternal_PosPop","Infant_Incidence","Maternal_Prevalence"
"Zimbabwe","Mashonaland East",2018,62087,439739,78097.6464,350,17.76
"Zimbabwe","Mashonaland East",2019,63567,451731,78420.5016,350,17.36
"Zimbabwe","Mashonaland East",2020,64681,461993,78446.4114,339,16.98
"Zimbabwe","Mashonaland West",1970,26216,107340,0,0,0
"Zimbabwe","Mashonaland West",1971,26192,111194,0,0,0
"Zimbabwe","Mashonaland West",1972,27131,115262,0,0,0
"Zimbabwe","Mashonaland West",1973,28135,119496,0,0,0
"Zimbabwe","Mashonaland West",1974,29111,123839,0,0,0
"Zimbabwe","Mashonaland West",1975,30070,127948,0.0767688,3,6e-05
"Zimbabwe","Mashonaland West",1976,30959,132105,0.1453155,2,0.00011
"Zimbabwe","Mashonaland West",1977,31871,136430,0.300146,2,0.00022
"Zimbabwe","Mashonaland West",1978,32739,141285,0.678168,2,0.00048
"Zimbabwe","Mashonaland West",1979,33578,147069,1.6030521,2,0.00109
"Zimbabwe","Mashonaland West",1980,34478,153808,3.8144384,3,0.00248
"Zimbabwe","Mashonaland West",1981,35509,161992,9.0067552,3,0.00556
"Zimbabwe","Mashonaland West",1982,36628,170350,39.265675,4,0.02305
"Zimbabwe","Mashonaland West",1983,37643,178648,108.5465248,7,0.06076
"Zimbabwe","Mashonaland West",1984,38295,186882,263.316738,13,0.1409
"Zimbabwe","Mashonaland West",1985,38714,195124,592.6501252,25,0.30373
"Zimbabwe","Mashonaland West",1986,39114,204393,1268.667351,50,0.6207
"Zimbabwe","Mashonaland West",1987,39599,213975,2589.0975,96,1.21
"Zimbabwe","Mashonaland West",1988,39986,223603,4896.9057,176,2.19
"Zimbabwe","Mashonaland West",1989,40743,232864,8755.6864,310,3.76
"Zimbabwe","Mashonaland West",1990,41346,241637,14643.2022,513,6.06
"Zimbabwe","Mashonaland West",1991,41826,249971,22797.3552,800,9.12
"Zimbabwe","Mashonaland West",1992,42204,258192,33074.3952,1163,12.81
"Zimbabwe","Mashonaland West",1993,42465,266536,44937.9696,1587,16.86
"Zimbabwe","Mashonaland West",1994,41643,275001,57585.2094,1991,20.94
"Zimbabwe","Mashonaland West",1995,41827,284060,69566.294,2368,24.49
"Zimbabwe","Mashonaland West",1996,42031,293213,80193.7555,2673,27.35
"Zimbabwe","Mashonaland West",1997,42085,302363,88683.0679,2839,29.33
"Zimbabwe","Mashonaland West",1998,41946,311038,94368.9292,2853,30.34
"Zimbabwe","Mashonaland West",1999,42059,318552,97381.3464,2812,30.57
"Zimbabwe","Mashonaland West",2000,41872,323798,97430.8182,2682,30.09
"Zimbabwe","Mashonaland West",2001,41418,327532,95213.5524,2496,29.07
"Zimbabwe","Mashonaland West",2002,40980,330371,91446.6928,2281,27.68
"Zimbabwe","Mashonaland West",2003,40497,332792,86758.8744,1915,26.07
"Zimbabwe","Mashonaland West",2004,40065,335213,81490.2803,1764,24.31
"Zimbabwe","Mashonaland West",2005,40407,337146,75992.7084,1581,22.54
"Zimbabwe","Mashonaland West",2006,41412,339532,70996.1412,1431,20.91
"Zimbabwe","Mashonaland West",2007,44552,342633,66984.7515,1344,19.55
"Zimbabwe","Mashonaland West",2008,47942,347423,64030.0589,1197,18.43
"Zimbabwe","Mashonaland West",2009,51919,354877,62387.3766,1174,17.58
"Zimbabwe","Mashonaland West",2010,55468,366213,61889.997,974,16.9
"Zimbabwe","Mashonaland West",2011,57901,381445,62900.2805,642,16.49
"Zimbabwe","Mashonaland West",2012,60716,398282,64521.684,605,16.2
"Zimbabwe","Mashonaland West",2013,63592,415104,66167.5776,591,15.94
"Zimbabwe","Mashonaland West",2014,66332,431819,67493.3097,329,15.63
"Zimbabwe","Mashonaland West",2015,68828,447564,68387.7792,289,15.28
"Zimbabwe","Mashonaland West",2016,71083,462706,68943.194,320,14.9
"Zimbabwe","Mashonaland West",2017,73137,477681,69024.9045,295,14.45
"Zimbabwe","Mashonaland West",2018,74951,492235,68765.2295,276,13.97
"Zimbabwe","Mashonaland West",2019,76465,505868,68393.3536,273,13.52
"Zimbabwe","Mashonaland West",2020,77606,518220,67783.176,262,13.08
"Zimbabwe","Masvingo",1970,24219,88646,0,0,0
"Zimbabwe","Masvingo",1971,23577,92284,0,0,0
"Zimbabwe","Masvingo",1972,24653,96211,0,0,0
"Zimbabwe","Masvingo",1973,25805,100318,0,0,0
"Zimbabwe","Masvingo",1974,27023,104461,0,0,0
"Zimbabwe","Masvingo",1975,28150,108183,9.3470112,4,0.00864
"Zimbabwe","Masvingo",1976,29222,111772,21.4378696,4,0.01918
"Zimbabwe","Masvingo",1977,30264,115361,48.7746308,5,0.04228
"Zimbabwe","Masvingo",1978,31307,119400,102.30192,8,0.08568
"Zimbabwe","Masvingo",1979,32285,124401,199.7009253,13,0.16053
"Zimbabwe","Masvingo",1980,33409,130425,367.4463525,21,0.28173
"Zimbabwe","Masvingo",1981,34698,138352,635.9626384,34,0.45967
"Zimbabwe","Masvingo",1982,36127,146192,1608.112,83,1.1
"Zimbabwe","Masvingo",1983,37280,153647,3072.94,152,2
"Zimbabwe","Masvingo",1984,38002,160681,5157.8601,243,3.21
"Zimbabwe","Masvingo",1985,38416,167379,7883.5509,358,4.71
"Zimbabwe","Masvingo",1986,38927,176813,11245.3068,490,6.36
"Zimbabwe","Masvingo",1987,39607,186529,15295.378,646,8.2
"Zimbabwe","Masvingo",1988,39207,196190,19952.523,800,10.17
"Zimbabwe","Masvingo",1989,39056,205344,24969.8304,961,12.16
"Zimbabwe","Masvingo",1990,38575,213832,30043.396,1101,14.05
"Zimbabwe","Masvingo",1991,37896,221742,34924.365,1213,15.75
"Zimbabwe","Masvingo",1992,37206,229485,39655.008,1306,17.28
"Zimbabwe","Masvingo",1993,36337,237438,44021.0052,1364,18.54
"Zimbabwe","Masvingo",1994,35551,245644,48072.5308,1405,19.57
"Zimbabwe","Masvingo",1995,35882,254802,51724.806,1456,20.3
"Zimbabwe","Masvingo",1996,36197,264385,54939.203,1489,20.78
"Zimbabwe","Masvingo",1997,36411,274375,57618.75,1494,21
"Zimbabwe","Masvingo",1998,36491,284178,59620.5444,1482,20.98
"Zimbabwe","Masvingo",1999,38910,292964,61053.6976,1567,20.84
"Zimbabwe","Masvingo",2000,41056,299301,61596.1458,1635,20.58
"Zimbabwe","Masvingo",2001,43072,304112,61400.2128,1678,20.19
"Zimbabwe","Masvingo",2002,44948,308085,60661.9365,1694,19.69
"Zimbabwe","Masvingo",2003,46981,311226,59475.2886,1672,19.11
"Zimbabwe","Masvingo",2004,49123,313819,58025.1331,1653,18.49
"Zimbabwe","Masvingo",2005,49556,315008,56354.9312,1569,17.89
"Zimbabwe","Masvingo",2006,48303,315818,54762.8412,1425,17.34
"Zimbabwe","Masvingo",2007,49434,316742,53877.8142,1358,17.01
"Zimbabwe","Masvingo",2008,48767,319105,53481.998,1105,16.76
"Zimbabwe","Masvingo",2009,48435,324996,53949.336,1091,16.6
"Zimbabwe","Masvingo",2010,48627,335796,55137.7032,841,16.42
"Zimbabwe","Masvingo",2011,49273,351331,57302.0861,769,16.31
"Zimbabwe","Masvingo",2012,50105,368926,59802.9046,469,16.21
"Zimbabwe","Masvingo",2013,52506,386583,62162.5464,435,16.08
"Zimbabwe","Masvingo",2014,54808,405172,64300.7964,351,15.87
"Zimbabwe","Masvingo",2015,56968,423459,66017.2581,277,15.59
"Zimbabwe","Masvingo",2016,58957,441874,67341.5976,311,15.24
"Zimbabwe","Masvingo",2017,60811,461245,68264.26,282,14.8
"Zimbabwe","Masvingo",2018,62517,481235,68912.852,263,14.32
"Zimbabwe","Masvingo",2019,64088,501301,69530.4487,261,13.87
"Zimbabwe","Masvingo",2020,65467,519615,69888.2175,250,13.45
"Zimbabwe","Matabeleland North",1970,12671,46746,0,0,0
"Zimbabwe","Matabeleland North",1971,12655,48829,0,0,0
"Zimbabwe","Matabeleland North",1972,13225,51175,0,0,0
"Zimbabwe","Matabeleland North",1973,13877,53686,0,0,0
"Zimbabwe","Matabeleland North",1974,14557,56229,0,0,0
"Zimbabwe","Matabeleland North",1975,15246,58526,4.8108372,4,0.00822
"Zimbabwe","Matabeleland North",1976,15893,60712,9.6592792,3,0.01591
"Zimbabwe","Matabeleland North",1977,16564,62865,19.840194,4,0.03156
"Zimbabwe","Matabeleland North",1978,17231,65240,39.620252,5,0.06073
"Zimbabwe","Matabeleland North",1979,17904,68127,76.6769385,7,0.11255
"Zimbabwe","Matabeleland North",1980,18620,71575,143.4720875,10,0.20045
"Zimbabwe","Matabeleland North",1981,19420,75658,259.847401,16,0.34345
"Zimbabwe","Matabeleland North",1982,20268,79897,730.0748169,41,0.91377
"Zimbabwe","Matabeleland North",1983,21004,84136,1506.0344,79,1.79
"Zimbabwe","Matabeleland North",1984,21561,88359,2721.4572,137,3.08
"Zimbabwe","Matabeleland North",1985,21916,92596,4490.906,217,4.85
"Zimbabwe","Matabeleland North",1986,22254,97370,6893.796,324,7.08
"Zimbabwe","Matabeleland North",1987,22632,102314,9996.0778,460,9.77
"Zimbabwe","Matabeleland North",1988,23033,107256,13793.1216,628,12.86
"Zimbabwe","Matabeleland North",1989,23657,111937,18055.4381,827,16.13
"Zimbabwe","Matabeleland North",1990,24164,116275,22534.095,1035,19.38
"Zimbabwe","Matabeleland North",1991,24618,120302,26995.7688,1244,22.44
"Zimbabwe","Matabeleland North",1992,24969,124242,31209.5904,1431,25.12
"Zimbabwe","Matabeleland North",1993,25260,128273,35044.1836,1589,27.32
"Zimbabwe","Matabeleland North",1994,23920,132422,38322.9268,1591,28.94
"Zimbabwe","Matabeleland North",1995,23220,137048,41141.8096,1588,30.02
"Zimbabwe","Matabeleland North",1996,22505,141849,43391.6091,1546,30.59
"Zimbabwe","Matabeleland North",1997,21680,146807,45040.3876,1465,30.68
"Zimbabwe","Matabeleland North",1998,20661,151640,46068.232,1358,30.38
"Zimbabwe","Matabeleland North",1999,21188,155958,46428.6966,1347,29.77
"Zimbabwe","Matabeleland North",2000,21575,158992,46028.184,1324,28.95
"Zimbabwe","Matabeleland North",2001,21783,161256,45054.9264,1275,27.94
"Zimbabwe","Matabeleland North",2002,22025,163111,43795.3035,1224,26.85
"Zimbabwe","Matabeleland North",2003,22340,164827,42327.5736,1143,25.68
"Zimbabwe","Matabeleland North",2004,22663,166567,40775.6016,1100,24.48
"Zimbabwe","Matabeleland North",2005,22654,167909,39122.797,1006,23.3
"Zimbabwe","Matabeleland North",2006,22276,169443,37667.1789,910,22.23
"Zimbabwe","Matabeleland North",2007,23011,171397,36678.958,838,21.4
"Zimbabwe","Matabeleland North",2008,23429,174523,36161.1656,763,20.72
"Zimbabwe","Matabeleland North",2009,24053,179219,36291.8475,708,20.25
"Zimbabwe","Matabeleland North",2010,24963,186261,36972.8085,550,19.85
"Zimbabwe","Matabeleland North",2011,26175,195568,38389.9984,324,19.63
"Zimbabwe","Matabeleland North",2012,27575,205620,39993.09,293,19.45
"Zimbabwe","Matabeleland North",2013,29144,215270,41525.583,329,19.29
"Zimbabwe","Matabeleland North",2014,30620,225060,42873.93,200,19.05
"Zimbabwe","Matabeleland North",2015,31935,234348,43916.8152,197,18.74
"Zimbabwe","Matabeleland North",2016,33089,243592,44747.8504,203,18.37
"Zimbabwe","Matabeleland North",2017,34105,252892,45318.2464,188,17.92
"Zimbabwe","Matabeleland North",2018,34949,262066,45678.1038,177,17.43
"Zimbabwe","Matabeleland North",2019,35621,270796,45899.922,175,16.95
"Zimbabwe","Matabeleland North",2020,36102,278413,45938.145,167,16.5
"Zimbabwe","Matabeleland South",1970,10564,47053,0,0,0
"Zimbabwe","Matabeleland South",1971,10551,49088,0,0,0
"Zimbabwe","Matabeleland South",1972,11034,51341,0,0,0
"Zimbabwe","Matabeleland South",1973,11569,53755,0,0,0
"Zimbabwe","Matabeleland South",1974,12159,56254,0,0,0
"Zimbabwe","Matabeleland South",1975,12748,58618,0.0117236,3,2e-05
"Zimbabwe","Matabeleland South",1976,13326,60972,0.0182916,2,3e-05
"Zimbabwe","Matabeleland South",1977,13930,63366,0.031683,2,5e-05
"Zimbabwe","Matabeleland South",1978,14522,65988,0.0527904,2,8e-05
"Zimbabwe","Matabeleland South",1979,15093,69046,0.103569,2,0.00015
"Zimbabwe","Matabeleland South",1980,15709,72540,0.261144,2,0.00036
"Zimbabwe","Matabeleland South",1981,16335,76332,0.725154,2,0.00095
"Zimbabwe","Matabeleland South",1982,17000,80245,4.092495,3,0.0051
"Zimbabwe","Matabeleland South",1983,17610,84154,14.3650878,3,0.01707
"Zimbabwe","Matabeleland South",1984,18001,88048,43.891928,4,0.04985
"Zimbabwe","Matabeleland South",1985,18286,91963,123.8281795,7,0.13465
"Zimbabwe","Matabeleland South",1986,18475,95753,321.6822035,14,0.33595
"Zimbabwe","Matabeleland South",1987,18634,99718,779.645183,30,0.78185
"Zimbabwe","Matabeleland South",1988,18951,103734,1742.7312,64,1.68
"Zimbabwe","Matabeleland South",1989,19458,107625,3583.9125,131,3.33
"Zimbabwe","Matabeleland South",1990,19894,111343,6691.7143,245,6.01
"Zimbabwe","Matabeleland South",1991,20239,114923,11354.3924,423,9.88
"Zimbabwe","Matabeleland South",1992,20512,118538,17436.9398,666,14.71
"Zimbabwe","Matabeleland South",1993,20753,122304,24436.3392,960,19.98
"Zimbabwe","Matabeleland South",1994,20588,126199,31436.1709,1233,24.91
"Zimbabwe","Matabeleland South",1995,21010,130466,37691.6274,1487,28.89
"Zimbabwe","Matabeleland South",1996,21452,134798,42704.0064,1661,31.68
"Zimbabwe","Matabeleland South",1997,21878,139131,46108.0134,1716,33.14
"Zimbabwe","Matabeleland South",1998,22251,143204,47858.7768,1682,33.42
"Zimbabwe","Matabeleland South",1999,21957,146629,48167.6265,1570,32.85
"Zimbabwe","Matabeleland South",2000,21538,148813,47129.0771,1441,31.67
"Zimbabwe","Matabeleland South",2001,20988,150151,45270.5265,1308,30.15
"Zimbabwe","Matabeleland South",2002,20359,150955,43007.0795,1176,28.49
"Zimbabwe","Matabeleland South",2003,19818,151568,40650.5376,1033,26.82
"Zimbabwe","Matabeleland South",2004,19316,152196,38505.588,956,25.3
"Zimbabwe","Matabeleland South",2005,19018,152550,36657.765,858,24.03
"Zimbabwe","Matabeleland South",2006,18879,153043,35307.0201,788,23.07
"Zimbabwe","Matabeleland South",2007,19210,154073,35036.2002,765,22.74
"Zimbabwe","Matabeleland South",2008,19650,156065,35442.3615,641,22.71
"Zimbabwe","Matabeleland South",2009,20281,159619,36728.3319,663,23.01
"Zimbabwe","Matabeleland South",2010,21177,165374,38680.9786,639,23.39
"Zimbabwe","Matabeleland South",2011,22357,173262,41340.3132,428,23.86
"Zimbabwe","Matabeleland South",2012,23731,182159,44228.2052,447,24.28
"Zimbabwe","Matabeleland South",2013,25103,191257,47049.222,434,24.6
"Zimbabwe","Matabeleland South",2014,26418,200158,49759.2788,384,24.86
"Zimbabwe","Matabeleland South",2015,27622,208396,52182.3584,395,25.04
"Zimbabwe","Matabeleland South",2016,28730,216434,54389.8642,369,25.13
"Zimbabwe","Matabeleland South",2017,29770,224221,55875.8732,325,24.92
"Zimbabwe","Matabeleland South",2018,30723,231614,56977.044,308,24.6
"Zimbabwe","Matabeleland South",2019,31537,238381,58021.9354,313,24.34
"Zimbabwe","Matabeleland South",2020,32149,244212,58806.2496,308,24.08
"Zimbabwe","Midlands",1970,28430,116260,0,0,0
"Zimbabwe","Midlands",1971,28400,120790,0,0,0
"Zimbabwe","Midlands",1972,29569,125606,0,0,0
"Zimbabwe","Midlands",1973,30802,130630,0,0,0
"Zimbabwe","Midlands",1974,32105,135757,0,0,0
"Zimbabwe","Midlands",1975,33312,140544,8.994816,4,0.0064
"Zimbabwe","Midlands",1976,34527,145320,20.99874,3,0.01445
"Zimbabwe","Midlands",1977,35681,150228,49.5451944,5,0.03298
"Zimbabwe","Midlands",1978,36833,155736,109.8094536,8,0.07051
"Zimbabwe","Midlands",1979,37959,162363,228.7045218,13,0.14086
"Zimbabwe","Midlands",1980,39163,170161,447.8807681,23,0.26321
"Zimbabwe","Midlands",1981,40514,179577,826.592931,39,0.4603
"Zimbabwe","Midlands",1982,41955,189276,2309.1672,106,1.22
"Zimbabwe","Midlands",1983,43204,198926,4615.0832,205,2.32
"Zimbabwe","Midlands",1984,44077,208464,7900.7856,339,3.79
"Zimbabwe","Midlands",1985,44593,217927,12225.7047,505,5.61
"Zimbabwe","Midlands",1986,45024,228077,17447.8905,694,7.65
"Zimbabwe","Midlands",1987,45568,238469,23393.8089,903,9.81
"Zimbabwe","Midlands",1988,45426,248758,29801.2084,1103,11.98
"Zimbabwe","Midlands",1989,45619,258489,36395.2512,1307,14.08
"Zimbabwe","Midlands",1990,45549,267502,42693.3192,1480,15.96
"Zimbabwe","Midlands",1991,45332,275920,48589.512,1625,17.61
"Zimbabwe","Midlands",1992,44838,284143,53987.17,1728,19
"Zimbabwe","Midlands",1993,44180,292535,58887.2955,1800,20.13
"Zimbabwe","Midlands",1994,43373,301156,63242.76,1832,21
"Zimbabwe","Midlands",1995,43848,310678,67137.5158,1887,21.61
"Zimbabwe","Midlands",1996,44335,320572,70525.84,1923,22
"Zimbabwe","Midlands",1997,44749,330807,73571.4768,1948,22.24
"Zimbabwe","Midlands",1998,45031,340843,76076.1576,1954,22.32
"Zimbabwe","Midlands",1999,46226,349901,77782.9923,1989,22.23
"Zimbabwe","Midlands",2000,47279,356570,78552.371,2016,22.03
"Zimbabwe","Midlands",2001,47981,361705,78562.326,2012,21.72
"Zimbabwe","Midlands",2002,48637,365973,77769.2625,1972,21.25
"Zimbabwe","Midlands",2003,49399,369594,76542.9174,1893,20.71
"Zimbabwe","Midlands",2004,50228,372902,74804.1412,1858,20.06
"Zimbabwe","Midlands",2005,50276,375166,72744.6874,1746,19.39
"Zimbabwe","Midlands",2006,49465,377537,70863.6949,1604,18.77
"Zimbabwe","Midlands",2007,50177,380043,69319.8432,1565,18.24
"Zimbabwe","Midlands",2008,50985,384064,68286.5792,1456,17.78
"Zimbabwe","Midlands",2009,52122,391472,68233.5696,1326,17.43
"Zimbabwe","Midlands",2010,53793,403701,69073.2411,1007,17.11
"Zimbabwe","Midlands",2011,56031,420671,71177.5332,789,16.92
"Zimbabwe","Midlands",2012,58637,439693,73780.4854,567,16.78
"Zimbabwe","Midlands",2013,61250,458811,76300.2693,590,16.63
"Zimbabwe","Midlands",2014,63738,478180,78517.156,480,16.42
"Zimbabwe","Midlands",2015,66039,496786,80330.2962,484,16.17
"Zimbabwe","Midlands",2016,68165,515217,81816.4596,377,15.88
"Zimbabwe","Midlands",2017,70162,533875,82537.075,340,15.46
"Zimbabwe","Midlands",2018,71994,552378,82911.9378,319,15.01
"Zimbabwe","Midlands",2019,73619,570201,83078.2857,316,14.57
"Zimbabwe","Midlands",2020,74956,586089,82931.5935,304,14.15
